,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,1,Joel Embiid,PHI,35,34.8,33.4,11.1,20.9,53.2,1.1,3.2,34.5,10.1,11.7,86.1,1.7,8.0,9.8,4.1,1.1,1.7,3.6,35.0
1,2,Luka Doncic,DAL,45,36.8,33.0,11.1,22.4,49.7,2.7,7.8,35.1,8.0,11.0,72.8,0.9,8.0,8.9,8.4,1.5,0.5,3.6,34.4
2,3,Giannis Antetokounmpo,MIL,38,33.5,31.3,10.9,20.7,52.7,0.8,3.0,25.7,8.7,13.4,64.5,2.3,9.7,12.0,5.3,0.8,0.9,4.1,31.6
3,4,Jayson Tatum,BOS,47,37.3,31.1,10.1,21.7,46.8,3.3,9.3,35.2,7.6,8.7,86.8,1.1,7.6,8.7,4.4,1.0,0.7,2.8,30.5
4,5,Shai Gilgeous-Alexander,OKC,45,35.6,30.9,10.4,20.2,51.3,1.0,2.7,36.6,9.2,10.2,90.6,0.8,3.9,4.8,5.6,1.7,1.1,2.9,30.4
5,6,Damian Lillard,POR,36,35.8,30.1,9.2,19.9,46.2,4.1,11.1,37.3,7.6,8.4,90.1,0.6,3.4,4.0,7.4,0.9,0.3,3.2,28.1
6,7,LeBron James,LAL,39,36.1,29.9,11.5,22.8,50.7,2.1,6.9,30.4,4.8,6.2,76.9,1.2,7.3,8.5,7.0,1.0,0.6,3.1,31.3
7,8,Kevin Durant,BKN,39,36.0,29.7,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,0.4,6.4,6.7,5.3,0.8,1.5,3.5,31.7
8,9,Donovan Mitchell,CLE,41,36.2,28.3,9.7,20.2,48.1,3.8,9.5,39.6,5.0,5.8,86.9,1.0,3.0,4.0,4.8,1.5,0.4,2.9,24.8
9,10,Ja Morant,MEM,41,32.4,27.3,9.7,20.9,46.5,1.7,5.2,32.2,6.2,8.3,74.6,1.1,4.5,5.6,8.1,1.0,0.3,3.6,25.4
10,11,Kyrie Irving,BKN,37,36.9,27.2,10.0,20.5,48.8,3.3,8.7,37.6,3.9,4.4,90.1,0.9,4.1,5.1,5.2,1.0,0.8,2.2,26.1
11,12,Trae Young,ATL,44,35.7,27.1,8.5,20.1,42.6,2.2,6.8,31.8,7.8,8.8,88.9,0.6,2.2,2.9,9.9,0.9,0.1,4.1,24.3
12,13,Jaylen Brown,BOS,44,35.9,26.8,10.0,20.5,48.9,2.5,7.5,33.1,4.2,5.4,78.5,1.3,5.9,7.1,3.2,1.1,0.5,3.1,24.0
13,14,DeMar DeRozan,CHI,45,36.2,26.3,9.4,18.5,50.8,0.4,1.4,27.0,7.0,7.9,89.0,0.5,4.5,5.0,4.9,1.0,0.5,2.0,25.7
14,15,Pascal Siakam,TOR,40,37.6,25.1,8.9,18.8,47.1,1.3,4.2,31.4,6.1,7.9,76.6,2.0,6.3,8.2,6.5,0.8,0.6,2.6,26.8
15,16,Nikola Jokic,DEN,42,33.4,25.1,9.5,15.2,62.9,0.9,2.3,37.8,5.1,6.3,81.8,2.1,8.9,11.0,9.9,1.4,0.6,3.4,37.7
16,17,Julius Randle,NYK,50,35.7,24.8,8.4,18.1,46.1,2.7,7.9,34.6,5.4,7.2,74.8,2.3,8.5,10.9,4.0,0.7,0.3,2.7,26.4
17,18,Lauri Markkanen,UTA,46,34.2,24.8,8.3,16.0,51.9,3.1,7.2,43.0,5.0,5.8,87.2,1.8,6.9,8.7,1.8,0.6,0.6,1.8,26.2
18,19,Anthony Edwards,MIN,51,36.5,24.5,8.7,19.0,45.9,2.7,7.4,37.1,4.3,5.6,77.5,0.6,5.4,6.0,4.5,1.7,0.6,3.3,22.5
19,20,De'Aaron Fox,SAC,44,33.4,23.8,9.0,17.6,50.8,1.6,4.8,33.2,4.3,5.5,78.5,0.4,3.9,4.3,6.1,0.9,0.3,2.6,23.0
20,21,Zach LaVine,CHI,44,35.7,23.6,8.3,18.1,45.8,2.9,7.7,37.3,4.2,5.0,83.6,0.6,4.1,4.7,4.2,1.0,0.2,2.5,20.5
21,22,Jalen Brunson,NYK,47,34.4,22.4,8.1,17.3,46.8,1.8,4.4,40.2,4.5,5.3,84.4,0.6,2.9,3.5,6.3,1.0,0.3,2.1,21.3
22,23,Kyle Kuzma,WAS,47,35.4,22.2,8.5,18.4,46.0,2.6,7.7,34.0,2.7,3.8,70.2,1.0,6.6,7.6,3.9,0.5,0.5,3.0,20.7
23,24,Kristaps Porzingis,WAS,41,32.6,22.1,7.2,15.4,46.8,1.9,5.5,34.8,5.8,7.0,82.6,2.0,6.8,8.8,2.4,0.9,1.5,2.2,24.0
24,25,Darius Garland,CLE,42,36.0,22.0,7.5,16.8,44.8,2.5,6.3,39.9,4.5,5.2,86.6,0.5,2.4,2.9,8.1,1.4,0.1,3.0,21.6
25,26,Jimmy Butler,MIA,35,33.9,21.8,7.2,13.9,51.9,0.6,1.9,30.3,6.8,8.0,84.7,2.1,4.1,6.1,5.0,2.1,0.3,1.7,25.7
26,27,Anfernee Simons,POR,46,35.8,21.8,7.7,17.3,44.4,3.6,9.7,37.4,2.7,3.0,90.0,0.3,2.5,2.8,4.0,0.7,0.2,2.2,17.3
27,28,Jalen Green,HOU,48,34.6,21.7,7.3,17.8,41.1,2.5,7.6,33.1,4.6,5.9,78.0,0.6,3.6,4.1,3.7,0.7,0.2,2.9,15.8
28,29,Keldon Johnson,SAS,43,32.3,21.5,7.5,17.6,42.9,2.4,7.0,34.1,4.1,5.2,78.1,0.8,4.0,4.8,2.5,0.7,0.2,2.1,16.5
29,30,Bam Adebayo,MIA,45,35.0,21.5,8.6,16.0,54.0,0.0,0.2,10.0,4.3,5.3,80.0,2.8,7.3,10.1,3.1,1.1,0.8,2.7,25.6
30,31,Terry Rozier,CHA,40,35.7,21.5,8.1,19.5,41.3,2.7,8.1,33.5,2.7,3.3,82.3,1.0,3.2,4.2,5.1,1.0,0.2,2.3,17.6
31,32,Bojan Bogdanovic,DET,47,31.4,21.3,7.1,14.7,48.6,2.5,5.9,41.7,4.5,5.1,88.0,0.6,3.1,3.7,2.7,0.6,0.1,2.2,18.0
32,33,CJ McCollum,NOP,44,35.1,21.2,7.9,18.5,43.0,3.0,7.7,38.9,2.4,3.0,78.2,0.8,3.7,4.5,5.8,1.0,0.6,2.7,19.2
33,34,Jerami Grant,POR,46,35.7,21.2,7.3,14.9,48.8,2.4,5.7,42.4,4.2,5.3,79.6,1.0,3.3,4.3,2.4,0.9,0.8,1.8,19.0
34,35,Jordan Clarkson,UTA,50,32.5,21.0,7.6,16.8,45.2,2.7,7.6,35.1,3.2,3.8,82.3,1.1,2.8,3.9,4.3,0.5,0.2,2.9,17.2
35,36,Jordan Poole,GSW,49,30.6,21.0,7.1,16.3,43.9,2.6,8.0,32.1,4.1,4.7,87.0,0.4,2.3,2.8,4.3,0.9,0.2,3.4,16.0
36,37,Klay Thompson,GSW,38,32.3,20.9,7.6,18.2,41.8,4.1,10.3,39.3,1.7,1.9,88.9,0.7,3.2,3.9,2.4,0.6,0.4,1.7,15.8
37,38,Dejounte Murray,ATL,44,36.6,20.9,8.4,18.3,46.1,2.0,5.6,35.9,2.1,2.5,84.3,0.7,4.7,5.4,6.0,1.6,0.3,2.4,21.7
38,39,Paolo Banchero,ORL,42,33.8,20.7,6.7,15.3,43.5,1.4,4.3,31.5,6.0,7.9,76.3,1.0,5.3,6.3,3.7,1.0,0.5,2.9,18.9
39,40,RJ Barrett,NYK,44,34.8,20.2,7.0,16.3,43.1,1.9,5.5,33.9,4.3,5.6,75.7,0.9,4.5,5.4,2.8,0.5,0.2,2.3,16.1
40,41,Tyrese Haliburton,IND,40,33.4,20.2,7.3,15.1,48.0,3.0,7.4,39.9,2.8,3.1,88.0,0.7,3.3,4.0,10.2,1.8,0.4,2.6,25.7
41,42,Franz Wagner,ORL,48,33.2,20.2,7.3,14.8,49.4,1.7,4.6,37.4,3.8,4.5,85.2,0.8,3.2,4.0,3.5,0.9,0.2,2.1,18.6
42,43,Tyler Herro,MIA,38,34.7,20.2,7.3,16.6,43.8,3.0,8.2,36.5,2.6,2.9,91.7,0.5,5.3,5.8,4.4,0.9,0.3,2.5,19.6
43,44,Kelly Oubre Jr.,CHA,35,32.6,20.2,7.5,17.8,42.1,2.3,7.4,30.8,2.9,4.0,71.4,1.5,3.6,5.1,1.2,1.6,0.4,1.3,15.7
44,45,Jrue Holiday,MIL,38,32.8,19.6,7.4,15.8,46.7,2.3,6.1,37.8,2.5,2.9,87.2,1.2,3.8,5.0,7.4,1.4,0.4,3.3,21.7
45,46,Fred VanVleet,TOR,41,36.8,19.3,6.3,15.9,39.4,3.0,8.6,34.6,3.8,4.2,90.1,0.4,3.8,4.3,6.4,1.6,0.6,1.8,20.3
46,47,Kevin Porter Jr.,HOU,40,34.0,19.2,6.7,15.4,43.7,2.2,6.4,34.6,3.5,4.6,76.6,1.4,4.1,5.5,5.6,1.3,0.4,3.6,18.7
47,48,Jamal Murray,DEN,41,32.3,19.1,7.0,15.5,45.3,2.2,5.6,38.5,2.9,3.5,82.6,0.8,3.3,4.1,5.7,1.0,0.2,2.0,19.0
48,49,Gary Trent Jr.,TOR,43,33.1,18.6,6.5,14.5,44.5,2.6,7.1,36.8,3.0,3.7,82.8,0.4,2.1,2.5,1.6,1.7,0.3,1.0,15.0
49,50,Domantas Sabonis,SAC,45,34.4,18.4,6.9,11.3,60.6,0.4,1.2,37.0,4.3,5.7,75.3,3.0,9.4,12.4,7.3,0.8,0.4,3.0,30.5
0,51,Christian Wood,DAL,42,29.0,18.4,6.7,12.5,53.5,1.8,4.6,38.5,3.1,4.3,73.7,1.4,7.0,8.4,1.7,0.5,1.3,2.1,21.1
1,52,Buddy Hield,IND,51,32.0,17.7,6.3,13.9,45.1,3.8,9.0,42.7,1.4,1.6,86.4,0.8,4.1,4.9,2.7,1.1,0.3,1.9,17.2
2,53,Bennedict Mathurin,IND,51,28.5,17.7,5.5,12.9,42.6,1.5,4.5,32.3,5.2,6.4,82.2,1.1,3.1,4.1,1.4,0.6,0.1,1.8,13.5
3,54,D'Angelo Russell,MIN,48,32.9,17.6,6.2,13.3,46.4,2.5,6.6,38.1,2.8,3.2,86.9,0.5,2.5,3.0,6.3,1.1,0.4,2.7,18.2
4,55,Deandre Ayton,PHX,41,29.7,17.5,7.6,13.3,57.2,0.2,0.6,30.4,2.1,3.0,71.1,2.9,7.2,10.1,2.1,0.5,0.7,2.1,22.2
5,56,Myles Turner,IND,42,30.0,17.5,6.3,11.6,54.4,1.6,4.0,39.1,3.3,4.3,76.2,1.5,6.4,7.9,1.4,0.6,2.4,1.6,21.8
6,57,Nikola Vucevic,CHI,48,33.8,17.3,7.0,13.6,51.6,1.7,4.6,36.5,1.6,2.0,83.0,2.1,8.9,11.0,3.3,0.7,0.9,1.8,24.4
7,58,Spencer Dinwiddie,DAL,49,34.0,17.3,5.9,12.6,46.4,2.6,6.4,40.7,3.0,3.6,83.0,0.4,2.7,3.0,5.3,0.7,0.3,1.6,17.6
8,59,O.G. Anunoby,TOR,45,35.8,16.9,6.3,13.7,45.7,1.9,5.2,36.6,2.4,3.0,82.1,1.5,4.0,5.5,2.0,2.1,0.8,2.2,17.1
9,60,Aaron Gordon,DEN,44,30.1,16.8,6.3,11.0,57.4,1.0,2.5,39.3,3.1,5.0,62.6,2.5,4.4,6.9,2.6,0.8,0.8,1.7,19.7
10,61,Norman Powell,LAC,41,25.5,16.5,5.5,11.4,48.5,2.0,4.7,43.2,3.4,4.3,79.1,0.3,2.6,3.0,1.7,0.7,0.4,1.7,13.8
11,62,Mikal Bridges,PHX,50,36.4,16.4,6.0,13.1,45.7,1.8,4.6,39.6,2.5,2.8,89.4,1.0,3.4,4.4,3.5,1.2,0.8,1.4,17.5
12,63,Tobias Harris,PHI,43,33.8,16.3,6.5,12.9,50.3,1.9,5.0,37.6,1.5,1.8,85.7,1.0,5.2,6.2,2.7,1.1,0.6,1.3,18.8
13,64,Josh Giddey,OKC,44,30.9,16.0,6.9,14.3,48.4,1.0,3.0,32.6,1.2,1.5,79.4,1.9,6.0,8.0,5.7,0.7,0.5,3.0,20.1
14,65,Russell Westbrook,LAL,46,28.6,15.8,5.9,13.9,42.1,1.2,4.0,28.6,3.0,4.5,66.3,1.1,5.3,6.3,7.5,1.0,0.5,3.5,18.1
15,66,De'Andre Hunter,ATL,39,31.8,15.8,5.7,12.2,46.3,1.6,4.4,37.6,2.8,3.4,82.8,0.6,3.7,4.3,1.3,0.4,0.2,1.3,13.7
16,67,Dillon Brooks,MEM,45,30.6,15.8,6.0,15.0,39.7,1.9,6.0,32.2,1.9,2.4,78.2,0.6,2.9,3.5,2.7,0.8,0.2,1.6,11.8
17,68,Kevin Huerter,SAC,44,31.0,15.7,5.7,11.7,48.6,2.9,6.9,41.8,1.4,2.0,72.1,0.6,2.8,3.3,3.0,1.1,0.3,1.5,15.4
18,69,Scottie Barnes,TOR,47,34.7,15.6,6.1,13.2,46.4,0.9,2.9,30.1,2.5,3.3,75.8,2.2,4.8,7.0,4.9,1.0,0.9,2.0,19.6
19,70,Alperen Sengun,HOU,45,28.0,15.5,6.1,10.7,57.5,0.2,0.7,31.3,3.0,4.0,74.0,3.3,5.7,8.9,3.6,0.8,1.0,2.4,21.8
20,71,Harrison Barnes,SAC,47,32.4,15.4,4.7,9.7,48.7,1.8,4.6,38.7,4.2,5.1,82.4,0.9,3.9,4.9,1.7,0.8,0.1,1.2,15.7
21,72,Evan Mobley,CLE,49,34.3,15.3,6.3,11.3,55.6,0.2,1.2,19.3,2.6,3.7,69.6,2.4,6.4,8.9,2.7,0.7,1.3,2.2,20.6
22,73,Jaden Ivey,DET,46,30.3,15.1,5.2,12.6,41.2,1.3,4.2,31.8,3.4,4.7,72.9,1.0,3.1,4.1,4.5,1.0,0.2,2.8,13.4
23,74,P.J. Washington,CHA,49,32.4,14.9,5.6,12.7,43.9,2.0,5.6,35.4,1.8,2.3,77.0,1.0,3.5,4.5,2.4,0.9,1.1,1.5,14.6
24,75,Jonas Valanciunas,NOP,49,25.1,14.8,5.8,10.7,54.3,0.6,1.7,36.9,2.6,3.1,82.4,2.8,7.1,9.9,1.6,0.3,0.6,2.0,19.7
25,76,Saddiq Bey,DET,46,28.8,14.7,4.7,11.5,40.5,1.9,5.4,34.4,3.5,4.0,85.5,1.1,3.4,4.5,1.5,0.9,0.2,1.1,13.3
26,77,Brook Lopez,MIL,48,30.4,14.5,5.5,11.0,50.1,2.0,5.1,38.7,1.5,1.9,78.9,1.9,4.3,6.2,1.2,0.5,2.5,1.4,17.6
27,78,Bobby Portis,MIL,47,26.8,14.4,6.0,12.0,49.9,1.2,3.6,34.1,1.2,1.5,82.9,2.6,7.5,10.1,1.8,0.5,0.2,1.3,19.5
28,79,Collin Sexton,UTA,38,24.0,14.4,4.9,9.9,50.0,1.0,2.5,41.5,3.5,4.2,82.5,0.8,1.4,2.2,2.8,0.6,0.1,1.8,12.7
29,80,Malcolm Brogdon,BOS,42,24.6,14.2,4.9,10.4,47.4,2.0,4.4,44.8,2.4,2.8,87.9,0.8,3.5,4.3,3.7,0.6,0.3,1.5,15.7
30,81,Jusuf Nurkic,POR,43,27.9,14.1,5.3,10.1,52.2,0.9,2.2,38.5,2.7,3.9,69.0,2.4,7.3,9.7,3.0,0.9,0.9,2.5,20.1
31,82,Luguentz Dort,OKC,47,30.3,14.1,4.8,11.8,40.6,1.9,5.4,35.7,2.5,3.3,75.8,1.4,2.8,4.2,2.3,1.0,0.3,1.4,12.6
32,83,Jarrett Allen,CLE,44,33.2,14.0,5.8,9.1,63.4,0.0,0.2,0.0,2.5,3.4,71.5,3.0,6.7,9.7,1.6,0.8,1.2,1.4,21.6
33,84,Tim Hardaway Jr.,DAL,46,29.9,13.8,4.6,12.0,38.4,2.8,7.8,35.8,1.8,2.3,77.6,0.4,3.1,3.4,1.6,0.8,0.2,0.9,10.9
34,85,Malik Beasley,UTA,51,27.0,13.5,4.9,12.2,39.8,3.1,8.5,35.9,0.7,0.9,84.1,0.5,3.0,3.5,1.7,0.8,0.2,1.1,11.2
35,86,Alec Burks,DET,37,21.9,13.5,4.1,9.1,45.5,1.9,4.3,44.4,3.3,4.1,81.3,0.4,2.6,3.0,2.2,0.8,0.1,1.1,12.8
36,87,John Collins,ATL,41,31.4,13.4,5.2,10.3,51.1,0.9,3.3,26.1,2.0,2.5,81.6,1.2,6.6,7.8,1.3,0.7,1.3,1.4,17.5
37,88,Tre Jones,SAS,48,29.8,13.3,5.1,11.7,44.0,0.7,2.7,27.1,2.3,2.6,89.4,0.8,2.8,3.6,6.4,1.3,0.2,1.8,16.1
38,89,Rudy Gobert,MIN,42,30.7,13.3,5.1,7.6,67.3,0.0,0.1,0.0,3.1,4.6,66.8,3.3,8.3,11.6,0.9,0.8,1.4,1.7,22.2
39,90,Nic Claxton,BKN,45,29.4,13.2,5.8,7.9,74.3,0.0,0.0,0.0,1.6,3.3,47.6,2.5,6.3,8.8,1.5,0.7,2.7,1.3,21.9
40,91,Malik Monk,SAC,46,22.1,13.0,4.5,10.6,42.5,1.7,5.3,31.4,2.3,2.5,90.6,0.5,2.0,2.5,3.9,0.6,0.2,1.8,12.1
41,92,Marcus Morris Sr.,LAC,46,28.9,12.9,4.8,10.9,43.7,2.0,5.3,37.9,1.3,1.7,79.5,0.5,3.9,4.4,1.8,0.6,0.4,0.9,12.7
42,93,Thomas Bryant,LAL,35,22.3,12.8,5.1,8.0,63.9,0.6,1.3,44.4,2.0,2.6,77.2,1.8,5.4,7.2,0.8,0.4,0.6,0.8,17.5
43,94,Max Strus,MIA,48,30.6,12.7,4.5,11.2,39.9,2.6,7.8,34.0,1.1,1.3,88.7,0.7,3.0,3.7,2.2,0.7,0.2,1.0,11.6
44,95,Trey Murphy III,NOP,46,29.0,12.5,4.3,9.0,47.9,2.2,5.4,39.6,1.8,1.9,93.2,0.8,2.9,3.8,1.3,1.0,0.5,0.8,13.6
45,96,Immanuel Quickley,NYK,49,27.4,12.5,4.4,10.1,43.3,1.6,4.7,33.8,2.2,2.6,84.8,0.7,3.4,4.0,3.1,0.9,0.1,1.2,13.4
46,97,Caris LeVert,CLE,47,31.0,12.4,4.5,10.9,41.1,1.6,4.4,36.7,1.9,2.6,71.8,0.7,3.2,3.9,3.8,0.8,0.2,1.7,12.4
47,98,Keegan Murray,SAC,45,29.5,12.4,4.4,9.7,45.4,2.5,6.0,42.5,1.0,1.3,80.7,1.0,3.2,4.3,1.0,0.8,0.6,0.9,12.5
48,99,Kyle Lowry,MIA,41,33.8,12.4,4.0,9.9,40.3,2.1,6.2,33.6,2.4,2.8,85.1,0.8,3.6,4.4,5.4,1.1,0.4,2.0,15.5
49,100,Bones Hyland,DEN,40,19.9,12.4,4.2,10.6,40.0,2.3,5.9,38.5,1.7,2.0,85.9,0.3,1.9,2.1,3.1,0.7,0.3,1.7,10.3
0,101,Mason Plumlee,CHA,50,28.2,12.2,4.7,7.0,67.4,0.0,0.0,0.0,2.8,4.5,62.2,3.4,6.4,9.8,3.6,0.6,0.7,1.5,21.4
1,102,Eric Gordon,HOU,42,29.9,12.2,4.2,9.9,42.4,1.8,5.2,34.4,2.0,2.5,81.1,0.3,1.9,2.1,2.6,0.5,0.4,1.6,10.1
2,103,Kelly Olynyk,UTA,39,28.5,12.2,4.0,8.0,50.3,1.5,3.5,41.3,2.6,3.2,83.1,1.1,3.8,5.0,3.3,1.1,0.6,2.3,15.3
3,104,Jakob Poeltl,SAS,40,25.8,12.0,5.2,8.2,62.6,0.0,0.0,0.0,1.7,3.0,58.5,3.3,5.7,9.0,3.0,0.8,1.1,1.9,19.7
4,105,Jabari Smith Jr.,HOU,46,29.5,12.0,4.3,10.9,39.2,1.7,5.5,30.4,1.8,2.3,77.9,1.2,5.7,6.9,1.0,0.5,1.0,1.4,12.8
5,106,Dennis Schroder,LAL,36,29.3,11.9,3.9,9.2,41.9,1.2,3.4,35.0,3.0,3.4,88.6,0.3,2.2,2.5,3.7,0.8,0.1,1.6,11.8
6,107,Jalen Williams,OKC,45,28.7,11.9,4.8,9.5,51.2,0.8,2.6,31.1,1.4,1.9,74.1,0.8,3.2,3.9,2.8,1.1,0.5,1.6,13.5
7,108,Isaiah Stewart,DET,39,28.4,11.5,3.9,8.8,44.8,1.3,4.1,32.7,2.3,3.1,75.0,2.4,5.6,8.0,1.2,0.4,0.7,1.4,14.7
8,109,Bol Bol,ORL,44,24.8,11.4,4.7,8.1,58.0,0.6,1.7,35.1,1.4,1.9,74.1,1.3,5.4,6.7,0.9,0.5,1.5,1.8,15.3
9,110,Kentavious Caldwell-Pope,DEN,47,31.5,11.4,4.0,8.6,47.0,2.0,4.4,46.4,1.3,1.6,82.2,0.4,2.5,2.9,2.2,1.3,0.3,1.2,12.2
10,111,Jaden McDaniels,MIN,48,30.8,11.4,4.5,8.7,51.9,1.2,3.2,38.2,1.2,1.6,74.0,1.3,2.4,3.7,1.9,1.0,1.0,1.5,13.1
11,112,Bruce Brown,DEN,48,29.1,11.3,4.5,9.1,49.4,1.4,3.4,39.9,1.0,1.4,71.2,0.8,3.4,4.2,3.6,1.1,0.7,1.6,14.3
12,113,Reggie Jackson,LAC,46,26.2,11.2,4.2,10.1,41.9,1.5,4.2,34.9,1.3,1.4,92.4,0.4,1.8,2.3,3.6,0.7,0.1,2.0,10.0
13,114,Josh Richardson,SAS,38,23.2,11.2,4.1,9.3,43.9,1.8,4.9,36.2,1.3,1.4,87.3,0.7,2.0,2.7,3.2,0.8,0.2,1.4,11.3
14,115,Kenyon Martin Jr.,HOU,49,25.3,11.2,4.4,8.0,55.4,0.9,2.8,33.1,1.4,2.3,61.3,1.4,3.9,5.3,1.4,0.4,0.3,1.1,13.0
15,116,Marcus Smart,BOS,41,32.5,11.1,4.0,9.5,42.2,1.8,5.3,33.3,1.4,1.8,76.7,0.7,2.7,3.4,7.2,1.3,0.4,2.4,15.2
16,117,De'Anthony Melton,PHI,44,29.4,11.1,4.1,9.6,42.5,2.3,5.8,39.3,0.7,0.9,76.9,1.0,3.5,4.5,2.9,1.9,0.6,1.5,13.8
17,118,Jalen McDaniels,CHA,50,27.1,11.0,4.1,9.0,45.8,1.2,3.6,33.5,1.6,1.9,84.4,0.8,4.1,4.9,2.1,1.1,0.6,1.4,13.1
18,119,Jaylen Nowell,MIN,51,19.7,11.0,4.4,9.9,44.2,1.0,3.7,28.2,1.2,1.6,75.9,0.6,2.0,2.6,2.1,0.7,0.1,1.0,9.5
19,120,Seth Curry,BKN,35,23.0,10.8,4.0,8.4,47.1,1.9,4.5,43.3,0.9,0.9,97.0,0.3,1.9,2.1,2.2,0.7,0.2,1.2,10.3
20,121,Austin Reaves,LAL,36,28.9,10.8,3.4,7.1,48.8,1.3,3.5,36.0,2.6,2.9,89.6,0.6,2.4,3.1,2.2,0.6,0.4,1.4,11.8
21,122,Grayson Allen,MIL,45,27.4,10.6,3.4,7.7,44.5,1.9,4.6,40.2,1.9,2.1,90.5,0.9,2.7,3.6,2.6,0.8,0.2,1.1,12.3
22,123,Tyus Jones,MEM,49,23.5,10.6,4.0,9.0,44.0,1.6,4.1,39.2,1.1,1.3,80.0,0.4,1.9,2.3,4.7,1.0,0.0,0.9,12.4
23,124,Mike Conley,UTA,39,29.5,10.5,3.5,8.8,39.5,1.9,5.1,37.4,1.6,2.1,80.0,0.4,2.1,2.5,7.5,1.0,0.2,1.6,14.3
24,125,Brandon Clarke,MEM,43,19.8,10.4,4.2,6.4,66.2,0.0,0.1,16.7,2.0,2.7,73.0,1.6,4.0,5.6,1.2,0.7,0.7,1.1,14.5
25,126,Monte Morris,WAS,41,28.5,10.4,4.0,8.4,47.4,1.3,3.4,39.6,1.0,1.3,79.2,0.4,3.0,3.4,5.4,0.7,0.2,0.9,14.5
